Leg,Trap,Outcome,Ftlbs,Species,Age
GB1r,Sauv120,1,510,GB,Adult
BBR2,North155,1,280,BB,Adult
GB1l,Sauv120,1,260,GB,Adult
GB1r,Sauv120,1,350,GB,Adult
GB1l,Sauv160,1,480,GB,Adult
GB1l,Sauv160,1,200,GB,Adult
BBR2,Sauv160,1,210,BB,Adult
